127.0.0.1 - - [27/Feb/2020:22:52:40 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:41 +0700] "GET /jdbc-servlet/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:41 +0700] "GET /jdbc-servlet/home;jsessionid=20B31CBF7D27D456F6DD8DC6ACC87FEB HTTP/1.1" 200 7371
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:41 +0700] "GET /jdbc-servlet/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140930
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:41 +0700] "GET /jdbc-servlet/template/web/css/style.css HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:41 +0700] "GET /jdbc-servlet/template/web/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:41 +0700] "GET /jdbc-servlet/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:41 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/admin-home HTTP/1.1" 200 73023
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/images/avatars/avatar3.png HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 200 132347
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/images/avatars/avatar.png HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [27/Feb/2020:22:52:50 +0700] "GET /jdbc-servlet/template/admin/assets/images/avatars/avatar4.png HTTP/1.1" 404 1079
